location_name,FIPS Code,Penetration
Autauga,1,44.90%
Baldwin,3,44.06%
Barbour,5,43.58%
Bibb,7,49.70%
Blount,9,51.71%
Bullock,11,43.88%
Butler,13,32.63%
Calhoun,15,30.96%
Chambers,17,37.72%
Cherokee,19,36.58%
Chilton,21,55.47%
Choctaw,23,26.75%
Clarke,25,46.67%
Clay,27,36.34%
Cleburne,29,26.44%
Coffee,31,29.58%
Colbert,33,31.68%
Conecuh,35,29.15%
Coosa,37,38.62%
Covington,39,27.73%
Crenshaw,41,37.57%
Cullman,43,40.07%
Dale,45,29.97%
Dallas,47,44.52%
DeKalb,49,32.83%
Elmore,51,42.21%
Escambia,53,40.00%
Etowah,55,43.03%
Fayette,57,27.31%
Franklin,59,24.07%
Geneva,61,31.64%
Greene,63,33.68%
Hale,65,28.36%
Henry,67,42.73%
Houston,69,37.77%
Jackson,71,32.06%
Jefferson,73,52.06%
Lamar,75,21.29%
Lauderdale,77,32.33%
Lawrence,79,36.65%
Lee,81,36.97%
Limestone,83,33.41%
Lowndes,85,56.30%
Macon,87,44.13%
Madison,89,30.16%
Marengo,91,30.80%
Marion,93,24.14%
Marshall,95,30.51%
Mobile,97,55.93%
Monroe,99,41.78%
Montgomery,101,46.84%
Morgan,103,31.89%
Perry,105,39.89%
Pickens,107,26.71%
Pike,109,40.51%
Randolph,111,33.03%
Russell,113,35.88%
St. Clair,115,50.76%
Shelby,117,44.82%
Sumter,119,29.86%
Talladega,121,45.73%
Tallapoosa,123,40.22%
Tuscaloosa,125,41.14%
Walker,127,50.27%
Washington,129,33.59%
Wilcox,131,30.83%
Winston,133,34.03%
Pending County Designation,,
Aleutians East,13,
Aleutians West,16,
Anchorage,20,1.20%
Bethel,50,
Bristol Bay,60,
Denali,68,
Dillingham,70,
Fairbanks North Star,90,0.52%
Haines,100,
Juneau,110,0.47%
Kenai Peninsula,122,2.12%
Ketchikan Gateway,130,0.74%
Kodiak Island,150,0.75%
Lake and Peninsula,164,
Matanuska-Susitna,170,1.54%
Nome,180,
North Slope,185,
Northwest Arctic,188,
Prince of Wales-Outer Ketchikan,201,
Sitka,220,
Skagway-Hoonah-Angoon,232,
Southeast Fairbanks,240,0.95%
Valdez-Cordova,261,0.77%
Wrangell-Petersburg,280,
Yakutat,282,
Yukon-Koyukuk,290,
