"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Alabama","Autauga","01","001","01001","01","000","01000","12,568","5,678","45.18%"
"Alabama","Baldwin","01","003","01003","01","010","01010","60,374","26,659","44.16%"
"Alabama","Barbour","01","005","01005","01","020","01020","6,991","3,146","45.00%"
"Alabama","Bibb","01","007","01007","01","030","01030","5,347","2,701","50.51%"
"Alabama","Blount","01","009","01009","01","040","01040","14,431","7,484","51.86%"
"Alabama","Bullock","01","011","01011","01","050","01050","2,627","1,206","45.91%"
"Alabama","Butler","01","013","01013","01","060","01060","5,355","1,867","34.86%"
"Alabama","Calhoun","01","015","01015","01","070","01070","29,879","9,736","32.58%"
"Alabama","Chambers","01","017","01017","01","080","01080","9,714","3,796","39.08%"
"Alabama","Cherokee","01","019","01019","01","090","01090","8,058","3,045","37.79%"
"Alabama","Chilton","01","021","01021","01","100","01100","10,507","5,851","55.69%"
"Alabama","Choctaw","01","023","01023","01","110","01110","4,062","1,156","28.46%"
"Alabama","Clarke","01","025","01025","01","120","01120","6,938","3,359","48.41%"
"Alabama","Clay","01","027","01027","01","130","01130","4,030","1,536","38.11%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,895","1,069","27.45%"
"Alabama","Coffee","01","031","01031","01","150","01150","12,049","3,667","30.43%"
"Alabama","Colbert","01","033","01033","01","160","01160","15,238","4,985","32.71%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,916","1,216","31.05%"
"Alabama","Coosa","01","037","01037","01","180","01180","3,506","1,381","39.39%"
"Alabama","Covington","01","039","01039","01","190","01190","10,762","3,154","29.31%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,939","1,539","39.07%"
"Alabama","Cullman","01","043","01043","01","210","01210","21,475","8,762","40.80%"
"Alabama","Dale","01","045","01045","01","220","01220","12,286","3,876","31.55%"
"Alabama","Dallas","01","047","01047","01","230","01230","10,794","4,971","46.05%"
"Alabama","DeKalb","01","049","01049","01","240","01240","17,083","5,864","34.33%"
"Alabama","Elmore","01","051","01051","01","250","01250","19,520","8,297","42.51%"
"Alabama","Escambia","01","053","01053","01","260","01260","9,512","3,938","41.40%"
"Alabama","Etowah","01","055","01055","01","270","01270","28,156","12,367","43.92%"
"Alabama","Fayette","01","057","01057","01","280","01280","5,436","1,578","29.03%"
"Alabama","Franklin","01","059","01059","01","290","01290","7,416","1,895","25.55%"
"Alabama","Geneva","01","061","01061","01","300","01300","7,719","2,611","33.83%"
"Alabama","Greene","01","063","01063","01","310","01310","2,516","892","35.45%"
"Alabama","Hale","01","065","01065","01","320","01320","4,589","1,407","30.66%"
"Alabama","Henry","01","067","01067","01","330","01330","5,411","2,358","43.58%"
"Alabama","Houston","01","069","01069","01","340","01340","26,642","10,384","38.98%"
"Alabama","Jackson","01","071","01071","01","350","01350","14,242","4,754","33.38%"
"Alabama","Jefferson","01","073","01073","01","360","01360","143,360","74,897","52.24%"
"Alabama","Lamar","01","075","01075","01","370","01370","4,180","967","23.13%"
"Alabama","Lauderdale","01","077","01077","01","380","01380","23,858","7,924","33.21%"
"Alabama","Lawrence","01","079","01079","01","390","01390","8,622","3,273","37.96%"
"Alabama","Lee","01","081","01081","01","400","01400","27,572","10,422","37.80%"
"Alabama","Limestone","01","083","01083","01","410","01410","20,392","6,964","34.15%"
"Alabama","Lowndes","01","085","01085","01","420","01420","3,272","1,854","56.66%"
"Alabama","Macon","01","087","01087","01","430","01430","5,232","2,333","44.59%"
"Alabama","Madison","01","089","01089","01","440","01440","72,801","22,399","30.77%"
"Alabama","Marengo","01","091","01091","01","450","01450","6,035","1,951","32.33%"
"Alabama","Marion","01","093","01093","01","460","01460","8,095","2,017","24.92%"
"Alabama","Marshall","01","095","01095","01","470","01470","22,997","7,293","31.71%"
"Alabama","Mobile","01","097","01097","01","480","01480","89,804","50,611","56.36%"
"Alabama","Monroe","01","099","01099","01","490","01490","5,726","2,482","43.35%"
"Alabama","Montgomery","01","101","01101","01","500","01500","47,620","22,543","47.34%"
"Alabama","Morgan","01","103","01103","01","510","01510","28,664","9,462","33.01%"
"Alabama","Perry","01","105","01105","01","520","01520","2,897","1,224","42.25%"
"Alabama","Pickens","01","107","01107","01","530","01530","5,302","1,587","29.93%"
"Alabama","Pike","01","109","01109","01","540","01540","7,113","2,964","41.67%"
"Alabama","Randolph","01","111","01111","01","550","01550","6,399","2,185","34.15%"
"Alabama","Russell","01","113","01113","01","560","01560","13,455","4,926","36.61%"
"Alabama","St. Clair","01","115","01115","01","570","01570","20,957","10,626","50.70%"
"Alabama","Shelby","01","117","01117","01","580","01580","43,176","19,356","44.83%"
"Alabama","Sumter","01","119","01119","01","590","01590","3,382","1,144","33.83%"
"Alabama","Talladega","01","121","01121","01","600","01600","21,597","10,106","46.79%"
"Alabama","Tallapoosa","01","123","01123","01","610","01610","12,667","5,267","41.58%"
"Alabama","Tuscaloosa","01","125","01125","01","620","01620","39,656","16,759","42.26%"
"Alabama","Walker","01","127","01127","01","630","01630","18,799","9,535","50.72%"
