We are in the process of doing a comprehensive review and evaluation of the data that is used to populate this report and the report may be updated at a later date.,,,,,,,,,,,,,,,
State Name,County Name,FIPSST,FIPSCNTY,FIPS,SSAST,SSACNTY,SSA,Eligibles,Enrolled,Penetration,,,,,
Alabama,Autauga,1,1,1001,1,0,1000,"12,628","5,686",45.03%,,,,,
Alabama,Baldwin,1,3,1003,1,10,1010,"60,885","26,768",43.96%,,,,,
Alabama,Barbour,1,5,1005,1,20,1020,"7,007","3,169",45.23%,,,,,
Alabama,Bibb,1,7,1007,1,30,1030,"5,370","2,708",50.43%,,,,,
Alabama,Blount,1,9,1009,1,40,1040,"14,473","7,497",51.80%,,,,,
Alabama,Bullock,1,11,1011,1,50,1050,"2,645","1,215",45.94%,,,,,
Alabama,Butler,1,13,1013,1,60,1060,"5,367","1,889",35.20%,,,,,
Alabama,Calhoun,1,15,1015,1,70,1070,"29,985","9,829",32.78%,,,,,
Alabama,Chambers,1,17,1017,1,80,1080,"9,739","3,825",39.28%,,,,,
Alabama,Cherokee,1,19,1019,1,90,1090,"8,094","3,076",38.00%,,,,,
Alabama,Chilton,1,21,1021,1,100,1100,"10,553","5,876",55.68%,,,,,
Alabama,Choctaw,1,23,1023,1,110,1110,"4,080","1,163",28.50%,,,,,
Alabama,Clarke,1,25,1025,1,120,1120,"6,959","3,367",48.38%,,,,,
Alabama,Clay,1,27,1027,1,130,1130,"4,045","1,543",38.15%,,,,,
Alabama,Cleburne,1,29,1029,1,140,1140,"3,910","1,075",27.49%,,,,,
Alabama,Coffee,1,31,1031,1,150,1150,"12,090","3,714",30.72%,,,,,
Alabama,Colbert,1,33,1033,1,160,1160,"15,320","5,018",32.75%,,,,,
Alabama,Conecuh,1,35,1035,1,170,1170,"3,924","1,222",31.14%,,,,,
Alabama,Coosa,1,37,1037,1,180,1180,"3,515","1,397",39.74%,,,,,
Alabama,Covington,1,39,1039,1,190,1190,"10,800","3,178",29.43%,,,,,
Alabama,Crenshaw,1,41,1041,1,200,1200,"3,952","1,547",39.14%,,,,,
Alabama,Cullman,1,43,1043,1,210,1210,"21,579","8,799",40.78%,,,,,
Alabama,Dale,1,45,1045,1,220,1220,"12,316","3,911",31.76%,,,,,
Alabama,Dallas,1,47,1047,1,230,1230,"10,818","4,982",46.05%,,,,,
Alabama,DeKalb,1,49,1049,1,240,1240,"17,167","5,911",34.43%,,,,,
Alabama,Elmore,1,51,1051,1,250,1250,"19,619","8,325",42.43%,,,,,
Alabama,Escambia,1,53,1053,1,260,1260,"9,534","3,947",41.40%,,,,,
Alabama,Etowah,1,55,1055,1,270,1270,"28,243","12,438",44.04%,,,,,
Alabama,Fayette,1,57,1057,1,280,1280,"5,448","1,586",29.11%,,,,,
Alabama,Franklin,1,59,1059,1,290,1290,"7,432","1,907",25.66%,,,,,
Alabama,Geneva,1,61,1061,1,300,1300,"7,771","2,632",33.87%,,,,,
Alabama,Greene,1,63,1063,1,310,1310,"2,512",909,36.19%,,,,,
Alabama,Hale,1,65,1065,1,320,1320,"4,596","1,416",30.81%,,,,,
Alabama,Henry,1,67,1067,1,330,1330,"5,428","2,374",43.74%,,,,,
Alabama,Houston,1,69,1069,1,340,1340,"26,764","10,446",39.03%,,,,,
Alabama,Jackson,1,71,1071,1,350,1350,"14,285","4,774",33.42%,,,,,
Alabama,Jefferson,1,73,1073,1,360,1360,"143,990","75,140",52.18%,,,,,
Alabama,Lamar,1,75,1075,1,370,1370,"4,193",977,23.30%,,,,,
Alabama,Lauderdale,1,77,1077,1,380,1380,"23,983","7,964",33.21%,,,,,
Alabama,Lawrence,1,79,1079,1,390,1390,"8,634","3,279",37.98%,,,,,
Alabama,Lee,1,81,1081,1,400,1400,"27,767","10,476",37.73%,,,,,
Alabama,Limestone,1,83,1083,1,410,1410,"20,520","7,009",34.16%,,,,,
Alabama,Lowndes,1,85,1085,1,420,1420,"3,290","1,868",56.78%,,,,,
Alabama,Macon,1,87,1087,1,430,1430,"5,232","2,335",44.63%,,,,,
Alabama,Madison,1,89,1089,1,440,1440,"73,352","22,557",30.75%,,,,,
Alabama,Marengo,1,91,1091,1,450,1450,"6,049","1,965",32.48%,,,,,
Alabama,Marion,1,93,1093,1,460,1460,"8,118","2,043",25.17%,,,,,
Alabama,Marshall,1,95,1095,1,470,1470,"23,066","7,357",31.90%,,,,,
Alabama,Mobile,1,97,1097,1,480,1480,"90,266","50,779",56.25%,,,,,
Alabama,Monroe,1,99,1099,1,490,1490,"5,746","2,502",43.54%,,,,,
Alabama,Montgomery,1,101,1101,1,500,1500,"47,810","22,550",47.17%,,,,,
Alabama,Morgan,1,103,1103,1,510,1510,"28,767","9,491",32.99%,,,,,
Alabama,Perry,1,105,1105,1,520,1520,"2,893","1,237",42.76%,,,,,
Alabama,Pickens,1,107,1107,1,530,1530,"5,337","1,608",30.13%,,,,,
Alabama,Pike,1,109,1109,1,540,1540,"7,115","2,985",41.95%,,,,,
Alabama,Randolph,1,111,1111,1,550,1550,"6,445","2,205",34.21%,,,,,
Alabama,Russell,1,113,1113,1,560,1560,"13,507","4,974",36.83%,,,,,
Alabama,St. Clair,1,115,1115,1,570,1570,"21,069","10,655",50.57%,,,,,
Alabama,Shelby,1,117,1117,1,580,1580,"43,467","19,418",44.67%,,,,,
Alabama,Sumter,1,119,1119,1,590,1590,"3,388","1,153",34.03%,,,,,
Alabama,Talladega,1,121,1121,1,600,1600,"21,699","10,145",46.75%,,,,,
Alabama,Tallapoosa,1,123,1123,1,610,1610,"12,701","5,300",41.73%,,,,,
Alabama,Tuscaloosa,1,125,1125,1,620,1620,"39,815","16,821",42.25%,,,,,
Alabama,Walker,1,127,1127,1,630,1630,"18,764","9,540",50.84%,,,,,
Alabama,Washington,1,129,1129,1,640,1640,"4,548","1,600",35.18%,,,,,
Alabama,Wilcox,1,131,1131,1,650,1650,"3,591","1,204",33.53%,,,,,
Alabama,Winston,1,133,1133,1,660,1660,"6,865","2,419",35.24%,,,,,
